package	pn_exit	em_exit	category
acct-user/buildbot	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/julius	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/yasr	FAIL(3)	FAIL(1)	fail/fail
app-admin/clsync	FAIL(3)	FAIL(1)	fail/fail
app-admin/calamares	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/caribou	FAIL(3)	FAIL(1)	fail/fail
app-admin/kio-admin	FAIL(3)	FAIL(1)	fail/fail
app-admin/multilog-watch	FAIL(3)	FAIL(1)	fail/fail
app-admin/ryzen_monitor	FAIL(3)	FAIL(1)	fail/fail
app-admin/ryzen_smu	FAIL(3)	FAIL(1)	fail/fail
app-admin/mkosi	FAIL(3)	FAIL(1)	fail/fail
app-antivirus/lkrg	FAIL(3)	FAIL(1)	fail/fail
app-arch/hardlink	FAIL(3)	FAIL(1)	fail/fail
app-admin/systemdgenie	FAIL(3)	FAIL(1)	fail/fail
app-arch/stuffit	FAIL(3)	FAIL(1)	fail/fail
app-backup/backuppc	FAIL(3)	FAIL(1)	fail/fail
app-backup/amanda	FAIL(3)	OK	fail/ok
app-backup/kup	FAIL(3)	FAIL(1)	fail/fail
app-benchmarks/bonnie	FAIL(137)	FAIL(137)	fail/fail
app-benchmarks/bonnie++	FAIL(137)	FAIL(137)	fail/fail
app-cdr/dolphin-plugins-mountiso	FAIL(3)	FAIL(1)	fail/fail
app-cdr/gcdemu	FAIL(3)	FAIL(1)	fail/fail
app-cdr/cdemu-daemon	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/kontrast	FAIL(3)	FAIL(1)	fail/fail
app-cdr/cdemu	FAIL(3)	FAIL(1)	fail/fail
app-cdr/kcdemu	FAIL(3)	FAIL(1)	fail/fail
app-cdr/disc-cover	FAIL(3)	FAIL(1)	fail/fail
app-cdr/xfburn	FAIL(3)	FAIL(1)	fail/fail
app-cdr/dvdisaster	FAIL(3)	FAIL(1)	fail/fail
app-crypt/bcwipe	FAIL(3)	FAIL(1)	fail/fail
app-containers/snapd	FAIL(3)	FAIL(1)	fail/fail
app-crypt/freepg	FAIL(3)	FAIL(1)	fail/fail
app-crypt/gpgstats	FAIL(3)	FAIL(1)	fail/fail
app-containers/nvidia-container-toolkit	FAIL(3)	FAIL(1)	fail/fail
app-crypt/heimdal	FAIL(3)	FAIL(1)	fail/fail
app-crypt/keepsecret	FAIL(3)	FAIL(1)	fail/fail
app-crypt/keysmith	FAIL(3)	FAIL(1)	fail/fail
app-crypt/rainbowcrack	FAIL(3)	OK	fail/ok
app-crypt/simple-tpm-pk11	FAIL(3)	FAIL(1)	fail/fail
app-arch/unar	FAIL(3)	FAIL(1)	fail/fail
app-dicts/aspell-is	FAIL(3)	OK	fail/ok
app-crypt/veracrypt	FAIL(3)	FAIL(1)	fail/fail
app-dicts/dikt	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-cdict-en-zh-big5	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-cdict-en-zh-gb	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-cedict-zh-en-big5	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-cedict-zh-en-gb	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-dictd-devils	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-deu	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-fra	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-ita	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-lat	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-rus	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-spa	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-swe	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-eng-tur	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-tur-deu	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-jmdict-en-ja	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-freedict-tur-eng	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-jmdict-ja-en	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-langdao-en-zh-gb	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-langdao-zh-en-gb	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-mova-smiley	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-oxford-en-zh-gb	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-quick-eng-jpn	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-quick-jpn-eng	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-quick-ru-en	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-xdict-en-zh-big5	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-xdict-en-zh-gb	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-xdict-zh-en-big5	FAIL(3)	FAIL(1)	fail/fail
app-dicts/stardict-xdict-zh-en-gb	FAIL(3)	FAIL(1)	fail/fail
app-doc/linkers-and-loaders	FAIL(3)	OK	fail/ok
app-editors/aee	FAIL(3)	FAIL(1)	fail/fail
app-editors/curses-hexedit	FAIL(3)	FAIL(1)	fail/fail
app-editors/dhex	FAIL(3)	FAIL(1)	fail/fail
app-editors/ee	FAIL(3)	FAIL(1)	fail/fail
app-editors/hteditor	FAIL(3)	FAIL(1)	fail/fail
app-editors/gnome-latex	FAIL(3)	FAIL(1)	fail/fail
app-editors/shed	FAIL(3)	FAIL(1)	fail/fail
app-editors/ted	FAIL(3)	FAIL(1)	fail/fail
app-crypt/sequoia-chameleon-gnupg	FAIL(124)	FAIL(1)	fail/fail
app-crypt/sequoia-sq	FAIL(124)	FAIL(1)	fail/fail
app-crypt/sequoia-sqv	FAIL(124)	FAIL(1)	fail/fail
app-editors/scite	FAIL(3)	FAIL(1)	fail/fail
app-editors/remarkable	FAIL(3)	FAIL(1)	fail/fail
app-emacs/cdlatex	FAIL(3)	FAIL(1)	fail/fail
app-emacs/auctex	FAIL(3)	FAIL(1)	fail/fail
app-editors/kile	FAIL(3)	FAIL(1)	fail/fail
app-emacs/edb	FAIL(3)	FAIL(1)	fail/fail
app-emacs/emms	FAIL(3)	FAIL(1)	fail/fail
app-editors/ghostwriter	FAIL(124)	FAIL(1)	fail/fail
app-emulation/bochs	FAIL(3)	FAIL(1)	fail/fail
app-emulation/86Box	FAIL(3)	FAIL(1)	fail/fail
app-emulation/dosemu	FAIL(3)	FAIL(1)	fail/fail
app-editors/okteta	FAIL(124)	FAIL(1)	fail/fail
app-emulation/glean	FAIL(3)	FAIL(1)	fail/fail
app-emulation/genymotion-bin	FAIL(3)	FAIL(1)	fail/fail
app-emulation/libvirt	FAIL(3)	FAIL(1)	fail/fail
app-emulation/fs-uae-launcher	FAIL(3)	FAIL(1)	fail/fail
app-emulation/punes	FAIL(3)	FAIL(1)	fail/fail
app-emulation/protontricks	FAIL(3)	FAIL(1)	fail/fail
app-emulation/softgun	FAIL(3)	FAIL(1)	fail/fail
app-emulation/guestfs-tools	FAIL(3)	FAIL(1)	fail/fail
app-emulation/vendor-reset	FAIL(3)	FAIL(1)	fail/fail
app-emulation/virtualbox-guest-modules	FAIL(3)	FAIL(1)	fail/fail
app-emulation/virtualbox	FAIL(3)	FAIL(1)	fail/fail
app-emulation/virtualbox-modules	FAIL(3)	FAIL(1)	fail/fail
app-emulation/virtualbox-guest-additions	FAIL(3)	FAIL(1)	fail/fail
app-emulation/virtualbox-extpack-oracle	FAIL(3)	FAIL(1)	fail/fail
app-emulation/virtualbox-kvm	FAIL(3)	FAIL(1)	fail/fail
app-forensics/honggfuzz	FAIL(3)	FAIL(1)	fail/fail
app-emulation/virt-v2v	FAIL(3)	FAIL(1)	fail/fail
app-i18n/fcitx-chinese-addons	FAIL(3)	FAIL(1)	fail/fail
app-i18n/ibus-fbterm	FAIL(3)	FAIL(1)	fail/fail
app-i18n/ibus-input-pad	FAIL(3)	FAIL(1)	fail/fail
app-i18n/ibus-pinyin	FAIL(3)	FAIL(1)	fail/fail
app-i18n/im-chooser	FAIL(3)	FAIL(1)	fail/fail
app-i18n/librime-lua	FAIL(3)	FAIL(1)	fail/fail
app-i18n/qkc	FAIL(3)	FAIL(1)	fail/fail
app-i18n/ibus-skk	FAIL(3)	FAIL(1)	fail/fail
app-i18n/kanjipad	FAIL(3)	FAIL(1)	fail/fail
app-i18n/skktools	FAIL(3)	FAIL(1)	fail/fail
app-i18n/nabi	FAIL(3)	FAIL(1)	fail/fail
app-laptop/framework-laptop-kmod	FAIL(3)	FAIL(1)	fail/fail
app-laptop/dispad	FAIL(3)	FAIL(1)	fail/fail
app-laptop/tp_smapi	FAIL(3)	FAIL(1)	fail/fail
app-laptop/tpacpi-bat	FAIL(3)	FAIL(1)	fail/fail
app-laptop/tuxedo-drivers	FAIL(3)	FAIL(1)	fail/fail
app-laptop/tuxedo-control-center-bin	FAIL(3)	FAIL(1)	fail/fail
app-metrics/ceph_exporter	FAIL(3)	FAIL(1)	fail/fail
app-misc/blink1	FAIL(3)	FAIL(1)	fail/fail
app-misc/calamares-gentoo-livecd	FAIL(3)	FAIL(1)	fail/fail
app-misc/ckb	FAIL(3)	FAIL(1)	fail/fail
app-misc/gcal	FAIL(3)	FAIL(1)	fail/fail
app-misc/gnuit	FAIL(3)	FAIL(1)	fail/fail
app-misc/francis	FAIL(3)	FAIL(1)	fail/fail
app-misc/anki	FAIL(3)	FAIL(1)	fail/fail
app-misc/geneweb	FAIL(3)	FAIL(1)	fail/fail
app-misc/irtrans-irclient	FAIL(3)	FAIL(1)	fail/fail
app-misc/irtrans-irserver	FAIL(3)	FAIL(1)	fail/fail
app-i18n/poedit	FAIL(124)	FAIL(1)	fail/fail
app-misc/ledit	FAIL(3)	FAIL(1)	fail/fail
app-misc/mouseremote	FAIL(3)	FAIL(1)	fail/fail
app-misc/oneko	FAIL(3)	FAIL(1)	fail/fail
app-misc/pal	FAIL(3)	FAIL(1)	fail/fail
app-misc/gnote	FAIL(3)	FAIL(1)	fail/fail
app-misc/muttprint	FAIL(3)	FAIL(1)	fail/fail
app-misc/socnetv	FAIL(3)	FAIL(1)	fail/fail
app-misc/splitvt	FAIL(3)	FAIL(1)	fail/fail
app-misc/openrgb-plugin-effects	FAIL(3)	FAIL(1)	fail/fail
app-misc/tpipe	FAIL(3)	FAIL(1)	fail/fail
app-misc/vlock	FAIL(3)	FAIL(1)	fail/fail
app-misc/prog-express	FAIL(3)	FAIL(1)	fail/fail
app-misc/rox-filer	FAIL(3)	FAIL(1)	fail/fail
app-office/calligraplan	FAIL(3)	FAIL(1)	fail/fail
app-office/calligra	FAIL(3)	FAIL(1)	fail/fail
app-misc/tinysparql	FAIL(3)	FAIL(1)	fail/fail
app-misc/xmind	FAIL(3)	FAIL(1)	fail/fail
app-misc/bijiben	FAIL(124)	FAIL(1)	fail/fail
app-office/kmymoney	FAIL(3)	FAIL(1)	fail/fail
app-misc/qlcplus	FAIL(3)	FAIL(1)	fail/fail
app-office/denaro	FAIL(3)	FAIL(1)	fail/fail
app-office/magicpoint	FAIL(3)	FAIL(1)	fail/fail
app-office/moneydance	FAIL(3)	FAIL(1)	fail/fail
app-office/skrooge	FAIL(3)	FAIL(1)	fail/fail
app-office/worklog-assistant-bin	FAIL(3)	FAIL(1)	fail/fail
app-office/naps2	FAIL(3)	FAIL(1)	fail/fail
app-officeext/languagetool	FAIL(3)	FAIL(1)	fail/fail
app-office/auto-multiple-choice	FAIL(3)	FAIL(1)	fail/fail
app-office/wps-office	FAIL(3)	FAIL(1)	fail/fail
app-officeext/sun-templates	FAIL(3)	FAIL(1)	fail/fail
app-officeext/texmaths	FAIL(3)	FAIL(1)	fail/fail
app-pda/jpilot	FAIL(3)	FAIL(1)	fail/fail
app-office/gnucash	FAIL(124)	FAIL(1)	fail/fail
app-portage/epkg	FAIL(3)	OK	fail/ok
app-office/libreoffice	FAIL(124)	FAIL(1)	fail/fail
app-portage/no-distcc-env	FAIL(3)	FAIL(1)	fail/fail
app-office/libreoffice-voikko	FAIL(124)	FAIL(1)	fail/fail
app-office/merkuro	FAIL(124)	FAIL(1)	fail/fail
app-shells/fsh	FAIL(3)	OK	fail/ok
app-shells/heirloom-sh	FAIL(3)	FAIL(1)	fail/fail
app-shells/shish	FAIL(3)	FAIL(1)	fail/fail
app-office/scribus	FAIL(124)	FAIL(1)	fail/fail
app-text/bogosort	FAIL(3)	FAIL(1)	fail/fail
app-shells/mpibash	FAIL(3)	FAIL(1)	fail/fail
app-portage/kuroo	FAIL(3)	FAIL(1)	fail/fail
app-office/unoconv	FAIL(124)	FAIL(1)	fail/fail
app-officeext/barcode	FAIL(124)	FAIL(1)	fail/fail
app-officeext/ct2n	FAIL(124)	FAIL(1)	fail/fail
app-officeext/dmaths	FAIL(124)	FAIL(1)	fail/fail
app-officeext/ooo2gd	FAIL(124)	FAIL(1)	fail/fail
app-text/cherrytree	FAIL(3)	FAIL(1)	fail/fail
app-officeext/ooofbtools	FAIL(124)	FAIL(1)	fail/fail
app-text/jabref	FAIL(3)	FAIL(1)	fail/fail
app-text/lv	FAIL(3)	FAIL(1)	fail/fail
app-text/llpp	FAIL(3)	FAIL(1)	fail/fail
app-text/marknote	FAIL(3)	FAIL(1)	fail/fail
app-text/namazu	FAIL(3)	FAIL(1)	fail/fail
app-text/paperwork	FAIL(3)	FAIL(1)	fail/fail
app-text/mathtex	FAIL(3)	FAIL(1)	fail/fail
app-text/openpaperwork-gtk	FAIL(3)	FAIL(1)	fail/fail
app-text/apvlv	FAIL(124)	FAIL(1)	fail/fail
app-text/calibre	FAIL(124)	FAIL(1)	fail/fail
app-text/pandoc	FAIL(3)	FAIL(1)	fail/fail
app-text/pandoc-cli	FAIL(3)	FAIL(1)	fail/fail
app-text/sdcv	FAIL(3)	FAIL(1)	fail/fail
app-text/ktikz	FAIL(3)	FAIL(1)	fail/fail
app-text/kbibtex	FAIL(3)	FAIL(1)	fail/fail
app-text/ttf2pt1	FAIL(3)	FAIL(1)	fail/fail
app-text/uudeview	FAIL(3)	FAIL(1)	fail/fail
app-text/vilistextum	FAIL(3)	FAIL(1)	fail/fail
app-text/foliate	FAIL(124)	FAIL(1)	fail/fail
app-text/sigil	FAIL(124)	FAIL(1)	fail/fail
app-text/uchmviewer	FAIL(124)	FAIL(1)	fail/fail
app-text/xiphos	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gnatsymbolize	FAIL(3)	FAIL(1)	fail/fail
app-text/zeal	FAIL(124)	FAIL(1)	fail/fail
dev-ada/AdaSAT	FAIL(124)	FAIL(1)	fail/fail
dev-ada/ada_language_server	FAIL(124)	FAIL(1)	fail/fail
dev-ada/ada_libfswatch	FAIL(124)	FAIL(1)	fail/fail
dev-ada/adareducer	FAIL(124)	FAIL(1)	fail/fail
dev-ada/aunit	FAIL(124)	FAIL(1)	fail/fail
dev-ada/aws	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gnatcoll-bindings	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gnatcoll-core	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gnatcoll-db	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gnatdoc	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gnatformat	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gnatmem	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gpr	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gprbuild	FAIL(124)	FAIL(1)	fail/fail
dev-ada/gtkada	FAIL(124)	FAIL(1)	fail/fail
dev-ada/lal-refactor	FAIL(124)	FAIL(1)	fail/fail
dev-build/dolphin-plugins-makefileactions	FAIL(3)	FAIL(1)	fail/fail
dev-cpp/gtkmm	FAIL(3)	FAIL(1)	fail/fail
dev-cpp/gtksourceviewmm	FAIL(3)	FAIL(1)	fail/fail
dev-db/cdb	FAIL(3)	FAIL(1)	fail/fail
dev-db/cockroach	FAIL(3)	FAIL(1)	fail/fail
dev-ada/langkit	FAIL(124)	FAIL(1)	fail/fail
dev-ada/langkit-contrib	FAIL(124)	FAIL(1)	fail/fail
dev-ada/libadalang	FAIL(124)	FAIL(1)	fail/fail
dev-ada/libadalang-tools	FAIL(124)	FAIL(1)	fail/fail
dev-ada/libgpr	FAIL(124)	FAIL(1)	fail/fail
dev-ada/markdown	FAIL(124)	FAIL(1)	fail/fail
dev-ada/prettier-ada	FAIL(124)	FAIL(1)	fail/fail
dev-ada/spawn	FAIL(124)	FAIL(1)	fail/fail
dev-ada/templates-parser	FAIL(124)	FAIL(1)	fail/fail
dev-db/libiodbc	FAIL(3)	FAIL(1)	fail/fail
dev-db/lmdb	FAIL(137)	FAIL(137)	fail/fail
dev-db/lmdb++	FAIL(137)	FAIL(137)	fail/fail
dev-ada/vss-extra	FAIL(124)	FAIL(1)	fail/fail
dev-ada/vss-text	FAIL(124)	FAIL(1)	fail/fail
dev-ada/xmlada	FAIL(124)	FAIL(1)	fail/fail
dev-db/mysql-connector-c++	?	?	fail/fail
dev-db/mysql++	FAIL(137)	FAIL(137)	fail/fail
dev-db/mysql	FAIL(137)	FAIL(137)	fail/fail
dev-db/mysql-workbench	FAIL(3)	FAIL(1)	fail/fail
dev-db/pglogical	FAIL(3)	FAIL(1)	fail/fail
dev-db/pgpool2	FAIL(3)	FAIL(1)	fail/fail
dev-db/pgmodeler	FAIL(3)	FAIL(1)	fail/fail
dev-db/mongodb	FAIL(3)	FAIL(1)	fail/fail
dev-db/psqlodbc	FAIL(3)	FAIL(1)	fail/fail
dev-db/sqldeveloper	FAIL(3)	FAIL(1)	fail/fail
dev-db/slony1	FAIL(3)	FAIL(1)	fail/fail
dev-db/sqlcl-bin	FAIL(3)	OK	fail/ok
dev-debug/apitrace	FAIL(3)	FAIL(1)	fail/fail
dev-db/zedis	FAIL(3)	FAIL(1)	fail/fail
dev-debug/ddd	FAIL(3)	FAIL(1)	fail/fail
dev-debug/hotspot	FAIL(3)	FAIL(1)	fail/fail
dev-debug/scap-driver	FAIL(3)	FAIL(1)	fail/fail
dev-debug/sysdig	FAIL(3)	FAIL(1)	fail/fail
dev-dotnet/netcoredbg	FAIL(3)	OK	fail/ok
dev-embedded/avr-libc	FAIL(3)	FAIL(1)	fail/fail
dev-embedded/cpik	FAIL(3)	FAIL(1)	fail/fail
dev-embedded/jal	FAIL(3)	FAIL(1)	fail/fail
dev-embedded/picp	FAIL(3)	FAIL(1)	fail/fail
dev-erlang/p1_acme	FAIL(3)	OK	fail/ok
dev-games/tiled	FAIL(3)	FAIL(1)	fail/fail
dev-debug/dtrace	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/adjunctions	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/aeson	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/aeson-pretty	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/cairo	FAIL(3)	FAIL(1)	fail/fail
dev-dotnet/dotnet-sdk	FAIL(124)	FAIL(124)	fail/fail
dev-haskell/connection	FAIL(3)	OK	fail/ok
dev-haskell/aws	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/citeproc	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/criterion	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/cryptonite-conduit	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/doctemplates	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/dbus	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/free	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/feed	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/glib	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/gtk2hs-buildtools	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/hashtables	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/fdo-notify	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/dav	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/git-lfs	FAIL(3)	FAIL(1)	fail/fail
dev-games/aseprite	FAIL(124)	FAIL(1)	fail/fail
dev-haskell/hslua-aeson	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/hslua	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/html-conduit	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/invariant	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/kan-extensions	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/ipynb	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/lens	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/hspec-wai	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/http-conduit	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/microstache	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/monad-logger	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pango	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pandoc-types	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pandoc-lua-marshal	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/reducers	FAIL(3)	OK	fail/ok
dev-haskell/quickcheck-classes	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/persistent	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/persistent-sqlite	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/persistent-test	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/pandoc	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/semialign	FAIL(3)	OK	fail/ok
dev-haskell/pandoc-server	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/servant	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/shakespeare	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-core	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-format-ansi	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-format-blaze-html	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/skylighting-format-context	FAIL(3)	FAIL(1)	fail/fail
