package	pn_exit	em_exit	category
dev-haskell/skylighting-format-latex	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/statistics	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/servant-server	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/tasty-hedgehog	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/tasty-smallcheck	FAIL(3)	OK	fail/ok
dev-haskell/test-framework-leancheck	FAIL(3)	OK	fail/ok
dev-haskell/texmath	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/tree-diff	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/trifecta	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/typst	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/wai-extra	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/wai-app-static	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/xml-hamlet	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yaml	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/wai-websockets	FAIL(3)	FAIL(1)	fail/fail
dev-java/aopalliance	FAIL(3)	OK	fail/ok
dev-java/antunit	FAIL(3)	OK	fail/ok
dev-haskell/yesod-core	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-persistent	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-test	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-static	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod-form	FAIL(3)	FAIL(1)	fail/fail
dev-haskell/yesod	FAIL(3)	FAIL(1)	fail/fail
dev-java/ant-contrib	FAIL(3)	OK	fail/ok
dev-java/fastdoubleparser	FAIL(3)	OK	fail/ok
dev-java/openjdk	FAIL(3)	FAIL(1)	fail/fail
dev-java/sbt	FAIL(3)	FAIL(1)	fail/fail
dev-java/openjfx	FAIL(3)	FAIL(1)	fail/fail
dev-lang/cxprolog	FAIL(3)	FAIL(1)	fail/fail
dev-lang/clojure-clr	FAIL(3)	OK	fail/ok
dev-lang/boogie	FAIL(3)	OK	fail/ok
dev-lang/gforth	FAIL(3)	FAIL(1)	fail/fail
dev-lang/haxe	FAIL(3)	FAIL(1)	fail/fail
dev-lang/elpi	FAIL(3)	FAIL(1)	fail/fail
dev-lang/dafny	FAIL(3)	OK	fail/ok
dev-lang/jint	FAIL(3)	OK	fail/ok
dev-lang/mond	FAIL(3)	OK	fail/ok
dev-lang/mmix	FAIL(3)	FAIL(1)	fail/fail
dev-lang/perl	FAIL(3)	OK	fail/ok
dev-lang/pico8	FAIL(3)	FAIL(1)	fail/fail
dev-lang/elixir	FAIL(3)	OK	fail/ok
dev-lang/snobol	FAIL(3)	FAIL(1)	fail/fail
dev-lang/teyjus	FAIL(3)	FAIL(1)	fail/fail
dev-lang/spidermonkey	FAIL(3)	FAIL(1)	fail/fail
dev-libs/amdgpu-pro-opencl	FAIL(3)	FAIL(1)	fail/fail
dev-lang/mono-basic	FAIL(3)	FAIL(1)	fail/fail
dev-libs/clog	FAIL(3)	OK	fail/ok
dev-libs/cl	FAIL(3)	FAIL(1)	fail/fail
dev-libs/castxml	FAIL(3)	OK	fail/ok
dev-libs/ayatana-ido	FAIL(3)	FAIL(1)	fail/fail
dev-libs/ferrisloki	FAIL(3)	FAIL(1)	fail/fail
dev-libs/gjs	FAIL(3)	FAIL(1)	fail/fail
dev-lang/pypy	FAIL(124)	FAIL(124)	fail/fail
dev-lang/pypy3-exe	FAIL(124)	FAIL(124)	fail/fail
dev-libs/hiprt	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kirigami-addons	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kopeninghours	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kosmindoormap	FAIL(3)	FAIL(1)	fail/fail
dev-libs/ktextaddons	FAIL(3)	FAIL(1)	fail/fail
dev-libs/kpublictransport	FAIL(3)	FAIL(1)	fail/fail
dev-lang/spark	FAIL(124)	FAIL(1)	fail/fail
dev-libs/input-pad	FAIL(3)	FAIL(1)	fail/fail
dev-lang/zig	FAIL(124)	FAIL(124)	fail/fail
dev-libs/libelf	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libiconv	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libintl	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libratbag	FAIL(3)	FAIL(1)	fail/fail
dev-libs/libopenrazer	FAIL(3)	FAIL(1)	fail/fail
dev-libs/opencryptoki	FAIL(3)	FAIL(1)	fail/fail
dev-libs/papi	FAIL(3)	FAIL(1)	fail/fail
dev-libs/rccl	FAIL(3)	FAIL(1)	fail/fail
dev-libs/template-glib	FAIL(3)	FAIL(1)	fail/fail
dev-libs/tvision	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/roswell	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/cmucl	FAIL(3)	FAIL(1)	fail/fail
dev-lua/lanes	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/ecl	FAIL(3)	OK	fail/ok
dev-ml/ANSITerminal	FAIL(3)	FAIL(1)	fail/fail
dev-ml/angstrom	FAIL(3)	FAIL(1)	fail/fail
dev-ml/alcotest	FAIL(3)	FAIL(1)	fail/fail
dev-ml/0install	FAIL(3)	FAIL(1)	fail/fail
dev-lisp/gcl	FAIL(3)	FAIL(1)	fail/fail
dev-ml/bin_prot	FAIL(3)	OK	fail/ok
dev-ml/coq-menhirlib	FAIL(3)	OK	fail/ok
dev-ml/base_quickcheck	FAIL(3)	OK	fail/ok
dev-ml/core_kernel	FAIL(3)	OK	fail/ok
dev-ml/core	FAIL(3)	OK	fail/ok
dev-ml/core_unix	FAIL(3)	OK	fail/ok
dev-ml/base_bigstring	FAIL(3)	OK	fail/ok
dev-ml/async_kernel	FAIL(3)	OK	fail/ok
dev-ml/core_extended	FAIL(3)	OK	fail/ok
dev-ml/async_unix	FAIL(3)	OK	fail/ok
dev-ml/async_rpc_kernel	FAIL(3)	OK	fail/ok
dev-ml/delimited_parsing	FAIL(3)	OK	fail/ok
dev-ml/gapi-ocaml	FAIL(3)	FAIL(1)	fail/fail
dev-ml/async_log	FAIL(3)	OK	fail/ok
dev-ml/core_bench	FAIL(3)	OK	fail/ok
dev-ml/async	FAIL(3)	OK	fail/ok
dev-ml/lambda-term	FAIL(3)	OK	fail/ok
dev-ml/ocaml-gettext-camomile	FAIL(3)	FAIL(1)	fail/fail
dev-ml/ocamlnet	FAIL(3)	FAIL(1)	fail/fail
dev-ml/pcre-ocaml	FAIL(3)	OK	fail/ok
dev-ml/ppx_blob	FAIL(3)	OK	fail/ok
dev-ml/ocamlweb	FAIL(3)	FAIL(1)	fail/fail
dev-ml/ppx_bin_prot	FAIL(3)	OK	fail/ok
dev-ml/ppx_js_style	FAIL(3)	OK	fail/ok
dev-ml/ppx_yojson_conv_lib	FAIL(3)	OK	fail/ok
dev-ml/ppx_string	FAIL(3)	OK	fail/ok
dev-ml/ppx_jane	FAIL(3)	OK	fail/ok
dev-ml/sedlex	FAIL(3)	OK	fail/ok
dev-lisp/c2ffi	FAIL(3)	FAIL(124)	fail/fail
dev-ml/protocol_version_header	FAIL(3)	OK	fail/ok
dev-ml/record_builder	FAIL(3)	OK	fail/ok
dev-ml/uuidm	FAIL(3)	OK	fail/ok
dev-ml/textutils	FAIL(3)	OK	fail/ok
dev-perl/Ace	FAIL(3)	FAIL(1)	fail/fail
dev-ml/utop	FAIL(3)	OK	fail/ok
dev-perl/Alien-HDF4	FAIL(3)	FAIL(1)	fail/fail
dev-ml/uri	FAIL(3)	OK	fail/ok
dev-perl/Apache-Reload	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Apache-SizeLimit	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Apache2-AuthenNTLM	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Apache-CGI-Builder	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Apache-AuthCookie	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Bio-ASN1-EntrezGene	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Bio-Graphics	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Bio-DB-HTS	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Bio-Das	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Convert-UUlib	FAIL(3)	FAIL(1)	fail/fail
dev-perl/CPAN-Checksums	FAIL(3)	OK	fail/ok
dev-perl/Crypt-Simple	FAIL(3)	OK	fail/ok
dev-perl/Date-Pcalc	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Dist-Zilla-Plugin-Config-Git	FAIL(3)	OK	fail/ok
dev-perl/Dist-Zilla-Plugin-NameFromDirectory	FAIL(3)	OK	fail/ok
dev-perl/Lab-Zhinst	FAIL(3)	FAIL(1)	fail/fail
dev-perl/LaTeX-Driver	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Net-AMQP-RabbitMQ	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Net-LDAPapi	FAIL(3)	FAIL(1)	fail/fail
dev-perl/PGPLOT	FAIL(3)	FAIL(1)	fail/fail
dev-perl/PDL-IO-HDF	FAIL(3)	FAIL(1)	fail/fail
dev-perl/PDL-GSL	FAIL(3)	FAIL(1)	fail/fail
dev-perl/PDL-IO-GD	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Starlet	FAIL(3)	OK	fail/ok
dev-perl/Template-Plugin-Latex	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Wx-Scintilla	FAIL(3)	FAIL(1)	fail/fail
dev-perl/Wx-GLCanvas	FAIL(3)	FAIL(1)	fail/fail
dev-php/pecl-rrd	FAIL(3)	FAIL(1)	fail/fail
dev-perl/gtk2-gladexml	FAIL(3)	FAIL(1)	fail/fail
dev-python/clr-loader	FAIL(3)	OK	fail/ok
dev-python/gsd	FAIL(3)	OK	fail/ok
dev-python/gst-python	FAIL(3)	FAIL(1)	fail/fail
dev-python/gssapi	FAIL(3)	OK	fail/ok
dev-python/ipdb	FAIL(3)	FAIL(1)	fail/fail
dev-python/jupyter-server-terminals	FAIL(3)	OK	fail/ok
dev-python/jupyter-lsp	FAIL(3)	OK	fail/ok
dev-python/libvirt-python	FAIL(3)	FAIL(1)	fail/fail
dev-python/matterhook	FAIL(3)	FAIL(1)	fail/fail
dev-python/nbconvert	FAIL(3)	OK	fail/ok
dev-python/moto	FAIL(3)	OK	fail/ok
dev-python/graph-tool	FAIL(124)	FAIL(1)	fail/fail
dev-python/nuitka	FAIL(3)	OK	fail/ok
dev-python/nautilus-python	FAIL(3)	FAIL(1)	fail/fail
dev-python/notebook-shim	FAIL(3)	OK	fail/ok
dev-python/notebook	FAIL(3)	OK	fail/ok
dev-python/nvidia-ml-py	FAIL(3)	FAIL(1)	fail/fail
dev-python/pivy	FAIL(3)	FAIL(1)	fail/fail
dev-python/pyotherside	FAIL(3)	FAIL(1)	fail/fail
dev-python/pkgcraft	FAIL(3)	FAIL(1)	fail/fail
dev-python/pyside	FAIL(3)	FAIL(1)	fail/fail
dev-python/python-systemd	FAIL(3)	FAIL(1)	fail/fail
dev-python/pytools	FAIL(3)	FAIL(1)	fail/fail
dev-python/pythonnet	FAIL(3)	OK	fail/ok
dev-python/pyqt6-webengine	FAIL(3)	FAIL(1)	fail/fail
dev-python/pyx	FAIL(3)	FAIL(1)	fail/fail
dev-python/pycuda	FAIL(3)	FAIL(1)	fail/fail
dev-python/python-vlc	FAIL(3)	FAIL(1)	fail/fail
dev-python/seaborn	FAIL(3)	FAIL(1)	fail/fail
dev-python/scikit-image	FAIL(3)	OK	fail/ok
dev-python/statsmodels	FAIL(3)	OK	fail/ok
dev-python/spyder-notebook	FAIL(3)	FAIL(1)	fail/fail
dev-python/qpageview	FAIL(124)	FAIL(1)	fail/fail
dev-qt/qt3d	FAIL(3)	FAIL(1)	fail/fail
dev-qt/qt-creator	FAIL(3)	FAIL(1)	fail/fail
dev-qt/qtcharts	FAIL(3)	FAIL(1)	fail/fail
dev-python/spyder-line-profiler	FAIL(3)	FAIL(1)	fail/fail
dev-qt/qtpbfimageplugin	FAIL(3)	FAIL(1)	fail/fail
dev-python/spyder	FAIL(124)	FAIL(1)	fail/fail
dev-python/spyder-terminal	FAIL(124)	FAIL(1)	fail/fail
dev-python/spyder-unittest	FAIL(124)	FAIL(1)	fail/fail
dev-qt/qtwayland	FAIL(3)	FAIL(1)	fail/fail
dev-ruby/commonmarker	FAIL(3)	FAIL(1)	fail/fail
dev-qt/qtwebengine	FAIL(124)	FAIL(1)	fail/fail
dev-qt/qtwebview	FAIL(124)	FAIL(1)	fail/fail
dev-ruby/mecab-ruby	FAIL(3)	OK	fail/ok
dev-ruby/mutex_m	FAIL(3)	OK	fail/ok
dev-ruby/rrdtool-bindings	FAIL(3)	OK	fail/ok
dev-ruby/ruby-dict	FAIL(3)	OK	fail/ok
dev-ruby/ruby-odbc	FAIL(3)	FAIL(1)	fail/fail
dev-ruby/ruby-romkan	FAIL(3)	OK	fail/ok
dev-scheme/akku	FAIL(3)	FAIL(1)	fail/fail
dev-scheme/cyclone	FAIL(3)	FAIL(1)	fail/fail
dev-scheme/bigloo	FAIL(3)	FAIL(1)	fail/fail
dev-scheme/c-wrapper	FAIL(3)	OK	fail/ok
dev-scheme/guile-ncurses	FAIL(3)	FAIL(1)	fail/fail
dev-tcltk/tktreectrl	FAIL(3)	FAIL(1)	fail/fail
dev-tex/frakturx	FAIL(3)	FAIL(1)	fail/fail
dev-tex/foiltex	FAIL(3)	FAIL(1)	fail/fail
dev-tex/ivritex	FAIL(3)	FAIL(1)	fail/fail
dev-tex/rubber	FAIL(3)	FAIL(1)	fail/fail
dev-tex/tex4ht	FAIL(3)	FAIL(1)	fail/fail
dev-tex/vc	FAIL(3)	FAIL(1)	fail/fail
dev-texlive/texlive-fontutils	FAIL(3)	FAIL(1)	fail/fail
dev-texlive/texlive-langarabic	FAIL(3)	FAIL(1)	fail/fail
dev-texlive/texlive-langspanish	FAIL(3)	FAIL(1)	fail/fail
dev-texlive/texlive-latexrecommended	FAIL(3)	FAIL(1)	fail/fail
dev-texlive/texlive-latexextra	FAIL(3)	FAIL(1)	fail/fail
dev-texlive/texlive-publishers	FAIL(3)	FAIL(1)	fail/fail
dev-util/Tensile	FAIL(3)	FAIL(1)	fail/fail
dev-util/bpftop	FAIL(3)	FAIL(1)	fail/fail
dev-util/coccigrep	FAIL(3)	FAIL(1)	fail/fail
dev-util/bpf-linker	FAIL(3)	FAIL(1)	fail/fail
dev-util/coccinelle	FAIL(3)	OK	fail/ok
dev-util/cutter	FAIL(3)	FAIL(1)	fail/fail
dev-util/godcc	FAIL(3)	FAIL(1)	fail/fail
dev-util/goland	FAIL(3)	OK	fail/ok
dev-util/herdtools7	FAIL(3)	FAIL(1)	fail/fail
dev-util/heaptrack	FAIL(3)	FAIL(1)	fail/fail
dev-util/hxtools	FAIL(3)	FAIL(1)	fail/fail
dev-util/devhelp	FAIL(3)	FAIL(1)	fail/fail
dev-util/intel-ocl-sdk	FAIL(3)	FAIL(1)	fail/fail
dev-util/kdstatemachineeditor	FAIL(3)	FAIL(1)	fail/fail
dev-util/kernelshark	FAIL(3)	FAIL(1)	fail/fail
dev-util/kio-perldoc	FAIL(3)	FAIL(1)	fail/fail
dev-util/lttng-modules	FAIL(3)	FAIL(1)	fail/fail
dev-util/llvm-mingw64	FAIL(3)	FAIL(1)	fail/fail
dev-util/gnome-builder	FAIL(3)	FAIL(1)	fail/fail
dev-util/mingw64-runtime	FAIL(3)	FAIL(1)	fail/fail
dev-util/mig	FAIL(3)	FAIL(1)	fail/fail
dev-util/marksman	FAIL(3)	OK	fail/ok
dev-util/meld	FAIL(3)	FAIL(1)	fail/fail
dev-util/kdevelop	FAIL(3)	FAIL(1)	fail/fail
dev-util/massif-visualizer	FAIL(3)	FAIL(1)	fail/fail
dev-util/kdevelop-php	FAIL(3)	FAIL(1)	fail/fail
dev-util/perf	FAIL(3)	FAIL(1)	fail/fail
dev-util/nsight-systems	FAIL(3)	FAIL(1)	fail/fail
dev-util/radare2	FAIL(3)	FAIL(1)	fail/fail
dev-util/rizin	FAIL(3)	FAIL(1)	fail/fail
dev-util/rpmdevtools	FAIL(3)	FAIL(1)	fail/fail
dev-util/roctracer	FAIL(3)	FAIL(1)	fail/fail
dev-util/rocm_bandwidth_test	FAIL(3)	FAIL(1)	fail/fail
dev-util/regexxer	FAIL(3)	FAIL(1)	fail/fail
dev-util/seer	FAIL(3)	FAIL(1)	fail/fail
dev-util/nsight-compute	FAIL(3)	FAIL(1)	fail/fail
dev-util/nsight-graphics	FAIL(3)	FAIL(1)	fail/fail
dev-util/shelltestrunner	FAIL(3)	OK	fail/ok
dev-util/shellcheck	FAIL(3)	FAIL(1)	fail/fail
dev-util/wachy	FAIL(3)	FAIL(1)	fail/fail
dev-vcs/cssc	FAIL(3)	FAIL(1)	fail/fail
dev-vcs/git-credential-manager	FAIL(3)	OK	fail/ok
dev-util/kdevelop-python	FAIL(124)	FAIL(1)	fail/fail
dev-vcs/hg-git	FAIL(3)	OK	fail/ok
dev-vcs/darcs	FAIL(3)	FAIL(1)	fail/fail
dev-vcs/kdesvn	FAIL(3)	FAIL(1)	fail/fail
games-action/a-story-about-my-uncle	FAIL(3)	FAIL(1)	fail/fail
games-action/apotheon	FAIL(3)	FAIL(1)	fail/fail
games-action/assault-android-cactus+	FAIL(3)	FAIL(1)	fail/fail
dev-vcs/sourcegit	FAIL(3)	OK	fail/ok
games-action/badland	FAIL(3)	FAIL(1)	fail/fail
games-action/abuse	FAIL(3)	FAIL(1)	fail/fail
games-action/atanks	FAIL(3)	FAIL(1)	fail/fail
games-action/beathazardultra	FAIL(3)	FAIL(1)	fail/fail
games-action/brutal-legend-gog	FAIL(3)	FAIL(1)	fail/fail
games-action/brutal-legend-hb	FAIL(3)	FAIL(1)	fail/fail
games-action/chickens	FAIL(3)	FAIL(1)	fail/fail
games-action/crimsonland	FAIL(3)	FAIL(1)	fail/fail
games-action/bomberclone	FAIL(3)	FAIL(1)	fail/fail
games-action/descent1-data	FAIL(3)	FAIL(1)	fail/fail
dev-vcs/git-annex	FAIL(3)	FAIL(1)	fail/fail
games-action/descent2-data	FAIL(3)	FAIL(1)	fail/fail
games-action/descent2-vertigo	FAIL(3)	FAIL(1)	fail/fail
games-action/garden	FAIL(3)	FAIL(1)	fail/fail
games-action/guacamelee	FAIL(3)	FAIL(1)	fail/fail
games-action/fakk2	FAIL(3)	FAIL(1)	fail/fail
games-action/dxx-rebirth	FAIL(3)	FAIL(1)	fail/fail
games-action/heretic2	FAIL(3)	FAIL(1)	fail/fail
games-action/hotline-miami	FAIL(3)	FAIL(1)	fail/fail
games-action/intrusion2	FAIL(3)	FAIL(1)	fail/fail
games-action/heretic2-demo	FAIL(3)	FAIL(1)	fail/fail
games-action/moon-buggy	FAIL(3)	FAIL(1)	fail/fail
games-action/heroes	FAIL(3)	FAIL(1)	fail/fail
games-action/postalplus	FAIL(3)	FAIL(1)	fail/fail
games-action/psychonauts-gog	FAIL(3)	FAIL(1)	fail/fail
games-action/psychonauts-hb	FAIL(3)	FAIL(1)	fail/fail
games-action/psychonauts2-hb	FAIL(3)	FAIL(1)	fail/fail
games-action/rive	FAIL(3)	FAIL(1)	fail/fail
games-action/shadowgrounds-bin	FAIL(3)	FAIL(1)	fail/fail
games-action/shadowgrounds-survivor-bin	FAIL(3)	FAIL(1)	fail/fail
games-action/powermanga	FAIL(3)	FAIL(1)	fail/fail
games-action/solar2	FAIL(3)	FAIL(1)	fail/fail
games-action/super-hexagon	FAIL(3)	FAIL(1)	fail/fail
games-action/prismlauncher	FAIL(3)	FAIL(1)	fail/fail
games-action/swordandsworcery	FAIL(3)	FAIL(1)	fail/fail
games-action/transistor	FAIL(3)	FAIL(1)	fail/fail
games-action/trine	FAIL(3)	FAIL(1)	fail/fail
games-action/trine2	FAIL(3)	FAIL(1)	fail/fail
games-action/trine-enchanted-edition	FAIL(3)	FAIL(1)	fail/fail
games-action/xbomber	FAIL(3)	FAIL(1)	fail/fail
games-action/rrootage	FAIL(3)	FAIL(1)	fail/fail
games-arcade/abe	FAIL(3)	FAIL(1)	fail/fail
games-arcade/aquaria	FAIL(3)	FAIL(1)	fail/fail
games-action/trosh	FAIL(3)	FAIL(1)	fail/fail
games-arcade/bumprace	FAIL(3)	FAIL(1)	fail/fail
games-arcade/ceferino	FAIL(3)	FAIL(1)	fail/fail
games-arcade/circuslinux	FAIL(3)	FAIL(1)	fail/fail
games-arcade/dynamitejack	FAIL(3)	FAIL(1)	fail/fail
games-arcade/defendguin	FAIL(3)	FAIL(1)	fail/fail
games-arcade/criticalmass	FAIL(3)	FAIL(1)	fail/fail
games-arcade/epiar	FAIL(3)	FAIL(1)	fail/fail
games-arcade/gunocide2ex	FAIL(3)	FAIL(1)	fail/fail
games-arcade/gnujump	FAIL(3)	FAIL(1)	fail/fail
games-arcade/jumpnbump	FAIL(3)	FAIL(1)	fail/fail
games-arcade/jvgs	FAIL(3)	FAIL(1)	fail/fail
games-arcade/methane	FAIL(3)	FAIL(1)	fail/fail
games-arcade/opensonic	FAIL(3)	FAIL(1)	fail/fail
games-arcade/pachi	FAIL(3)	FAIL(1)	fail/fail
games-arcade/osu-lazer	FAIL(3)	FAIL(1)	fail/fail
games-arcade/jazz2-data	FAIL(3)	FAIL(1)	fail/fail
games-arcade/penguin-command	FAIL(3)	FAIL(1)	fail/fail
games-arcade/mrrescue	FAIL(3)	FAIL(1)	fail/fail
games-arcade/ri-li	FAIL(3)	FAIL(1)	fail/fail
games-arcade/shovel-knight	FAIL(3)	FAIL(1)	fail/fail
games-arcade/rockdodger	FAIL(3)	FAIL(1)	fail/fail
games-arcade/nottetris2	FAIL(3)	FAIL(1)	fail/fail
games-arcade/notpacman	FAIL(3)	FAIL(1)	fail/fail
games-arcade/orthorobot	FAIL(3)	FAIL(1)	fail/fail
games-arcade/thinktanks-demo	FAIL(3)	FAIL(1)	fail/fail
games-arcade/rocksndiamonds	FAIL(3)	FAIL(1)	fail/fail
games-arcade/sdb	FAIL(3)	FAIL(1)	fail/fail
games-arcade/tomatoes	FAIL(3)	FAIL(1)	fail/fail
games-arcade/tecnoballz	FAIL(3)	FAIL(1)	fail/fail
games-arcade/vor	FAIL(3)	FAIL(1)	fail/fail
games-arcade/xbubble	FAIL(3)	FAIL(1)	fail/fail
games-board/ace	FAIL(3)	FAIL(1)	fail/fail
games-board/freedoko	FAIL(3)	FAIL(1)	fail/fail
games-board/gmchess	FAIL(3)	FAIL(1)	fail/fail
games-board/cockatrice	FAIL(3)	FAIL(1)	fail/fail
